# ATOK Passport 変換改善履歴から抽出した unigram 専用辞書。
# 471 unique (読み, 表記) pairs from the saved ATOK archives.
# Format: 読み\tleftId\trightId\tcost\t表記
# Existing exact pairs are loaded for audit but Main.kt de-duplicates them before building.
# ATOK HTML has no Mozc POS/cost metadata. New entries use matching metadata when available;
# otherwise 名詞,一般 (1851/1851) and cost 9000 are used conservatively.

# かわぼ -> カワボ (existing metadata)
すれっず	1920	1920	9000	Threads
# すれっず -> スレッズ (existing metadata)
すれっず	1920	1920	5692	スレッズ
# せんすた -> 専スタ (existing metadata)
せんすた	1851	1851	7841	専スタ
# せんすれ -> 専スレ (existing metadata)
せんすれ	1851	1851	6904	専スレ
# ぜんけし -> 全消し (noun fallback)
ぜんけし	1851	1851	9000	全消し
# そくぎめ -> 即決め (noun fallback)
そくぎめ	1851	1851	9000	即決め
# そとぼし -> 外干し (existing metadata)
そとぼし	1841	1841	6381	外干し
# たべせん -> 食べ専 (noun fallback)
たべせん	1851	1851	9000	食べ専
# たんごじ -> 丹後路 (existing metadata)
たんごじ	1851	1851	4000	丹後路
# だこくじ -> 打刻時 (noun fallback)
だこくじ	1851	1851	9000	打刻時
# ちえんじ -> 遅延時 (noun fallback)
ちえんじ	1851	1851	9000	遅延時
# ちばんず -> 地番図 (noun fallback)
ちばんず	1851	1851	9000	地番図
# ちるする -> チルする (existing metadata)
ちるする	633	1851	4500	チルする
# つうばん -> 通番 (existing metadata)
つうばん	1851	1851	7400	通番
# てばなか -> 手羽中 (existing metadata)
てばなか	1851	2003	7412	手羽中
# でこれる -> デコれる (noun fallback)
でこれる	1851	1851	9000	デコれる
# でんあし -> 電アシ (noun fallback)
でんあし	1851	1851	9000	電アシ
# でんちゃ -> 電チャ (noun fallback)
でんちゃ	1851	1851	9000	電チャ
# とれかん -> トレ缶 (noun fallback)
とれかん	1851	1851	9000	トレ缶
# どたさん -> ドタ参 (noun fallback)
どたさん	1851	1851	9000	ドタ参
# なかばき -> 中履き (noun fallback)
なかばき	1851	1851	9000	中履き
# なんぱー -> 何パー (existing metadata)
なんぱー	1906	1851	6730	何パー
# にくだく -> 肉だく (noun fallback)
にくだく	1851	1851	9000	肉だく
# にくまし -> 肉増し (existing metadata)
にくまし	1851	1851	7349	肉増し
# にっしり -> 日シリ (noun fallback)
にっしり	1851	1851	9000	日シリ
# ぬいかつ -> ぬい活 (existing metadata)
ぬいかつ	829	1851	5475	ぬい活
# ぬりたし -> 塗り足し (existing metadata)
ぬりたし	842	842	5787	塗り足し
# ぬんかつ -> ヌン活 (noun fallback)
ぬんかつ	1851	1851	9000	ヌン活
# ねたおす -> 寝倒す (noun fallback)
ねたおす	1851	1851	9000	寝倒す
# ねばとろ -> ネバトロ (existing metadata)
ねばとろ	1851	1851	8156	ネバトロ
# のべあい -> 述べ合い (noun fallback)
のべあい	1851	1851	9000	述べ合い
# のんでり -> ノンデリ (noun fallback)
のんでり	1851	1851	9000	ノンデリ
# はこねじ -> 箱根路 (existing metadata)
はこねじ	1924	1949	6023	箱根路
# はつうち -> 初打ち (existing metadata)
はつうち	1841	1841	6115	初打ち
# はやだき -> 早炊き (noun fallback)
はやだき	1851	1851	9000	早炊き
# はやのみ -> 早飲み (noun fallback)
はやのみ	1851	1851	9000	早飲み
# はろこす -> ハロコス (noun fallback)
はろこす	1851	1851	9000	ハロコス
# ばくのび -> 爆伸び (noun fallback)
ばくのび	1851	1851	9000	爆伸び
# ばくやけ -> 爆焼け (existing metadata)
ばくやけ	1851	1851	4000	爆焼け
# ばくらば -> バクラバ (existing metadata)
ばくらば	1851	1851	7894	バクラバ
# ばっこう -> 抜港 (noun fallback)
ばっこう	1851	1851	9000	抜港
# ばんはん -> 番販 (noun fallback)
ばんはん	1851	1851	9000	番販
# ぱぶくら -> パブクラ (noun fallback)
ぱぶくら	1851	1851	9000	パブクラ
# ひきうち -> 引き撃ち (noun fallback)
ひきうち	1851	1851	9000	引き撃ち
# ひきつよ -> 引き強 (noun fallback)
ひきつよ	1851	1851	9000	引き強
# ひっぱつ -> 必発 (noun fallback)
ひっぱつ	1851	1851	9000	必発
# ひばごん -> ヒバゴン (existing metadata)
ひばごん	1920	1920	6649	ヒバゴン
# ひふんち -> 避粉地 (existing metadata)
ひふんち	1851	1851	4000	避粉地
# ぴんしゃ -> ピン写 (noun fallback)
ぴんしゃ	1851	1851	9000	ピン写
# ふかぐつ -> 深靴 (noun fallback)
ふかぐつ	1851	1851	9000	深靴
# ふるすく -> フルスク (existing metadata)
ふるすく	1851	1851	8258	フルスク
# ふーでり -> フーデリ (existing metadata)
ふーでり	1851	1851	7611	フーデリ
# ぶいろぐ -> ブイログ (existing metadata)
ぶいろぐ	1851	1851	4000	ブイログ
# ぶつれき -> 仏暦 (noun fallback)
ぶつれき	1851	1851	9000	仏暦
# ぶどうぎ -> 武道着 (noun fallback)
ぶどうぎ	1851	1851	9000	武道着
# へきたん -> 碧潭 (noun fallback)
へきたん	1851	1851	9000	碧潭
# へきろん -> 僻論 (existing metadata)
へきろん	1851	1851	9481	僻論
