＞	ふとうごう だいなり すうがく >
≦	ふとうごう しょうなりいこーる すうがく < <= きごう
≧	ふとうごう だいなりいこーる すうがく > >= きごう
⋮	。。。 . ... ・・・ ・ 。 てん さんてん さんてんりーだ さんてんりーだー
⋯	。。。 . ... ・・・ ・ 。 てん あまり さんてん さんてんりーだ さんてんりーだー
⋰	。。。 . ... ・・・ ・ 。 てん さんてん さんてんりーだ さんてんりーだー
⋱	。。。 . ... ・・・ ・ 。 てん さんてん さんてんりーだ さんてんりーだー
∞	むげんだい むげん すうがく きごう
∴	ゆえに すうがく きごう さんかく てん
♀	めす きごう きんせい せんせいじゅつ
♂	おす きごう かせい せんせいじゅつ
°	ど たんい きごう
′	’ ふん たんい きごう
″	” びょう たんい きごう
℃	ど たんい せっし どC どc どしー C
°C	ど たんい せっし どC どc どしー C
°F	かし どF どf どえふ F
￥	えん つうか \ ¥ ＼ たんい
¥	えん つうか \ ￥ ＼ たんい
＄	どる だらー だら つうか $ たんい
¢	せんと つうか たんい
£	ぽんど つうか たんい
€	ゆーろ つうか たんい
％	ぱーせんと たんい %
＃	しゃーぷ なんばー いげた はっしゅ #
＆	あんど あんぱさんど &
＊	あすたりすく あすてりすく ほし *
＠	あっとまーく あっと @
§	せくしょん きごう だんらく
¶	せくしょん だんらく だんらくきごう ぱらぐらふ きごう
☆	ほし しろぼし しろほし ずけい
★	ほし くろぼし くろほし ずけい
○	まる しろまる ずけい
●	まる くろまる ずけい
◎	にじゅうまる まる ずけい
◉	じゃのめ まる ずけい
⦿	まるなかぐろ まる ずけい
◇	しかく だいや ひしがた ひし ずけい
◆	しかく だいや ひしがた ひし ずけい
□	しかく ずけい
■	しかく ずけい
△	さんかく ずけい
▲	さんかく ずけい
▽	さんかく ずけい ぎゃくさんかく
▼	さんかく ずけい ぎゃくさんかく
▷	さんかく ずけい みぎ みぎさんかく >
▶	さんかく ずけい みぎ みぎさんかく >
◁	さんかく ずけい ひだり ひだりさんかく <
◀	さんかく ずけい ひだり ひだりさんかく <
⬠	ごかく ずけい
⬟	ごかく ずけい
⬭	だえん ちょうえん ずけい
⬬	だえん ちょうえん ずけい
⬯	だえん ちょうえん ずけい
⬮	だえん ちょうえん ずけい
﹅	ごま けんてん ぼうてん わきてん
﹆	しろごま けんてん ぼうてん わきてん
※	こめ * こめじるし きごう ほし
▓	だーくしぇーど くろぬり しかく
▢	しかく かどまる
▣	しかく いれこ
▤	しかく よこぬり
▥	しかく たてぬり
▦	しかく じゅうじぬり
▧	しかく ななめぬり
▨	しかく ななめぬり
▩	しかく ななめじゅうじぬり
〒	ゆうびん ゆうびんばんごう きごう
→	やじるし みぎや -> ー> みぎ
←	やじるし ひだりや <- <ー ひだり
↑	やじるし うえや うえ
↓	やじるし したや した
☛	みぎへ →
☚	ひだりへ ←
☞	みぎへ →
☜	ひだりへ →
☝	うえへ ↑
☟	したへ ↓
〓	げた きごう
∈	すうがく しゅうごう けいさん きごう ぞくする ふくむ
∉	すうがく しゅうごう けいさん きごう ぞくさない ふくまない
∋	すうがく しゅうごう けいさん きごう ぞくする ふくむ
∌	すうがく しゅうごう けいさん きごう ぞくさない ふくまない
⊆	すうがく しゅうごう けいさん きごう
⊇	すうがく しゅうごう けいさん きごう
⊂	すうがく しゅうごう けいさん きごう
⊃	すうがく しゅうごう けいさん きごう
